Reads	Human_reads_removed
Sample_315-CAB165_7E4_2.fastq.gz	17746884
Sample_316-CAG11G_7E5_1.fastq.gz	4118153
Sample_316-CAG11G_7E5_2.fastq.gz	4118153
Sample_317-CAE114_7E6_1.fastq.gz	46146
Sample_317-CAE114_7E6_2.fastq.gz	46146
Sample_318-CAC130_7E7_1.fastq.gz	197531
Sample_318-CAC130_7E7_2.fastq.gz	197531
Sample_319-CAG11H_7E8_1.fastq.gz	425269
Sample_319-CAG11H_7E8_2.fastq.gz	425269
Sample_31-CAE104_1F7_1.fastq.gz	260003
Sample_31-CAE104_1F7_2.fastq.gz	260003
Sample_320-CAB166_7E9_1.fastq.gz	368663
Sample_320-CAB166_7E9_2.fastq.gz	368663
Sample_321-CAE115_7F1_1.fastq.gz	46940
Sample_321-CAE115_7F1_2.fastq.gz	46940
Sample_322-CAH119_7F3_1.fastq.gz	7932025
Sample_322-CAH119_7F3_2.fastq.gz	7932025
Sample_323-CAD13W_7F5_1.fastq.gz	59765
Sample_323-CAD13W_7F5_2.fastq.gz	59765
Sample_324-CAE12E_7F7_1.fastq.gz	197554
Sample_324-CAE12E_7F7_2.fastq.gz	197554
Sample_325-CAE116_7F8_1.fastq.gz	54418
